,관광지,분류,평점
0,암사동 선사주거지,역사적인 장소,4.5
1,화성,역사적인 장소,4.0
2,대부도,섬,4.0
3,국립현대미술관(과천관),아트뮤지엄,4.5
4,독립기념관,역사박물관,4.5
5,공산성,역사적인 장소 • 즐길거리 & 랜드마크,4.5
6,무령왕릉,역사적인 장소,4.0
7,충청수영성,역사적인 장소 • 성 • 경관이 좋은 산책로,5.0
8,천주교 대전교구 공세리성당,종교적인 장소,4.5
9,팜카밀레 허브농원,공원 • 가든,5.0
10,천주교 전주교구 전동성당,종교적인 장소,4.0
11,"무주 구천동계곡 방화동 가족휴양촌,",국립공원 • 자연 & 야생동물 서식지 • 계곡,5.0
12,순천만 갈대밭,공원,4.5
13,용천사,역사적인 장소 • 종교적인 장소 • 경관이 좋은 산책로,4.0
14,계림,유서 깊은 산책로,4.0
15,금오산,공원,4.5
16,빙계계곡,물길 • 산림 • 계곡,5.0
17,군위 삼존석굴,역사적인 장소 • 종교적인 장소,4.5
18,주남저수지,자연 & 야생동물 서식지,4.0
19,청곡사,종교적인 장소,3.5
20,고성 탈박물관,전문 박물관,4.0
21,임진성,성,3.5
22,다랑쉬오름,화산,5.0
23,약천사,종교적인 장소,4.5
24,제주 올레,하이킹 트레일,4.5
25,월드컵공원,기타 야외 활동,4.5
26,대한민국 국회의사당과 헌정기념관,전문 박물관,4.0
27,산사원,전문 박물관 • 맥주 양조장,4.5
28,탄금대,물길,4.5
29,지리산 산수유마을,유서 깊은 산책로 • 절경 드라이브 코스 • 경관이 좋은 산책로,4.0
30,항공우주박물관,과학박물관,4.0
31,창녕 석빙고,역사적인 장소,3.5
32,천제연폭포,폭포,4.0
33,대둔산,산,4.5
34,그림이 있는 정원,가든,2.5
35,마이산 도립공원,산,4.5
36,용궁사,종교적인 장소,4.0
37,한벽당,역사적인 장소,4.0
38,달아공원,자연 & 야생동물 서식지,4.0
39,"벌교 홍교, 대한다원",산림 • 농장,4.5
40,안양 예술공원,공원,4.5
41,부천 활박물관과 궁도장,전문 박물관,4.0
42,파주 프로방스,특산물 & 기념품 가게 • 쇼핑몰,4.0
43,융ㆍ건릉,역사적인 장소,4.0
44,자유공원,공원,4.0
45,통일전망대,전망대 & 타워,4.0
46,십리포 해수욕장,해변,3.5
47,순천 드라마세트장 ,즐길거리 & 랜드마크,4.0
