,0,행정구역,관광지
0,"암사동 선사주거지-->강동구 올림픽로 875, 서울, 대한민국", 서울,암사동 선사주거지
1,"화성-->팔달구 정조로 825, 수원, 경기도, 대한민국", 경기도,화성
2,"대부도-->2-3 Kitanomarukoen, 치요다, 도쿄, 도쿄도, 관동, 일본", 관동,대부도
3,"국립현대미술관(과천관)-->광명로 313, 과천, 경기도, 대한민국", 경기도,국립현대미술관(과천관)
4,독립기념관-->충남 천안시 동남구 목천읍 독립기념관로 1,,결과 없음
5,"공산성-->280 Ungjin-ro, Gongju-si, Chungcheongnam-do, 공주, 충청남도, 대한민국", 충청남도,공산성
6,"무령왕릉-->왕릉로 37, 공주, 충청남도, 대한민국", 충청남도,무령왕릉
7,"충청수영성-->오천면 소성리 931, 보령, 충청남도, 대한민국", 충청남도,충청수영성
8,"천주교 대전교구 공세리성당-->인주면 공세리성당길 10, 아산, 충청남도, 대한민국", 충청남도,천주교 대전교구 공세리성당
9,"팜카밀레 허브농원-->남면 우운길 56-19, 태안, 충청남도, 대한민국", 충청남도,팜카밀레 허브농원
10,"천주교 전주교구 전동성당-->200-1, Jeon-dong, Wansan-gu, 전주, 전라북도, 대한민국", 전라북도,천주교 전주교구 전동성당
11,"무주 구천동계곡 방화동 가족휴양촌,-->설천면 구천동1로 159, 무주, 전라북도, 대한민국", 전라북도,"무주 구천동계곡 방화동 가족휴양촌,"
12,"순천만 갈대밭-->대대동 162-2, 순천, 전라남도, 대한민국", 전라남도,순천만 갈대밭
13,"용천사-->해보면 용천사길 209, 함평, 전라남도, 대한민국", 전라남도,용천사
14,"계림-->1, Gyo-dong, 경주, 경상북도, 대한민국", 경상북도,계림
15,금오산-->경북 구미시 남통동 288-2,,결과 없음
16,"빙계계곡-->춘산면 빙계리 896, 의성, 경상북도, 대한민국", 경상북도,빙계계곡
17,"군위 삼존석굴-->302, Namsan-ri, Bugye-myeon, 군위, 경상북도, 대한민국", 경상북도,군위 삼존석굴
18,"주남저수지-->의창구 동읍 주남로101번길 26, 창원, 경상남도, 대한민국", 경상남도,주남저수지
19,"청곡사-->금산면 월아산로1440번길 138, 진주, 경상남도, 대한민국", 경상남도,청곡사
20,"고성 탈박물관-->고성읍 율대리 666-18, 경상남도, 대한민국", 경상남도,고성 탈박물관
21,"임진성-->남면 상가리 291, 남해, 경상남도, 대한민국", 경상남도,임진성
22,"다랑쉬오름-->구좌읍 세화리 산 6, 제주, 제주도, 대한민국", 제주도,다랑쉬오름
23,"약천사-->대포동 1165, 서귀포, 제주도, 대한민국", 제주도,약천사
24,"제주 올레-->제주도, 대한민국",제주 올레-->제주도,제주 올레
25,월드컵공원-->서울특별시 마포구 월드컵로 243-60,,결과 없음
26,"대한민국 국회의사당과 헌정기념관-->영등포구 국회대로68길 18, 서울, 대한민국", 서울,대한민국 국회의사당과 헌정기념관
27,"산사원-->화현면 화현리 512, 포천, 경기도, 대한민국", 경기도,산사원
28,"탄금대-->중앙탑면 탑정안길, 충주, 충청북도, 대한민국", 충청북도,탄금대
29,"지리산 산수유마을-->6-12, Wianwolgye-gil, 구례, 전라남도, 대한민국", 전라남도,지리산 산수유마을
30,"항공우주박물관-->사남면 공단1로 78, 사천, 경상남도, 대한민국", 경상남도,항공우주박물관
31,창녕 석빙고-->경상남도 창녕군 창녕읍 송현리 288,,결과 없음
32,"천제연폭포-->천제연로 132, 서귀포, 제주도, 대한민국", 제주도,천제연폭포
33,"대둔산-->운주면 대둔산공원길 23, 완주, 전라북도, 대한민국", 전라북도,대둔산
34,"그림이 있는 정원-->광천읍 충서로400번길 102-36, 홍성, 충청남도, 대한민국", 충청남도,그림이 있는 정원
35,"마이산 도립공원-->진안, 전라북도, 대한민국", 전라북도,마이산 도립공원
36,"용궁사-->중구 운남로 199-1, 인천, 대한민국", 인천,용궁사
37,"한벽당-->완산구 기린대로 2, 전주, 전라북도, 대한민국", 전라북도,한벽당
38,"달아공원-->산양읍 산양일주로 1115, 통영, 경상남도, 대한민국", 경상남도,달아공원
39,"벌교 홍교, 대한다원-->해맞이해안로 1752, 제주, 제주도, 대한민국", 제주도,"벌교 홍교, 대한다원"
40,"안양 예술공원-->만안구 예술공원로 131, 안양, 경기도, 대한민국", 경기도,안양 예술공원
41,"부천 활박물관과 궁도장-->8, Chunui-dong, Wonmi-gu, 부천, 경기도, 대한민국", 경기도,부천 활박물관과 궁도장
42,"파주 프로방스-->탄현면 성동리 82-1, 파주, 경기도, 대한민국", 경기도,파주 프로방스
43,"융ㆍ건릉-->화성, 경기도, 대한민국", 경기도,융ㆍ건릉
44,"자유공원-->중구 신포로27번길 80, 인천, 대한민국", 인천,자유공원
45,"통일전망대-->탄현면 필승로 369, 파주, 경기도, 대한민국", 경기도,통일전망대
46,"십리포 해수욕장-->영흥면 영흥북로 420-26, 인천, 대한민국", 인천,십리포 해수욕장
47,"순천 드라마세트장 -->비례골길 24, 순천, 전라남도, 대한민국", 전라남도,순천 드라마세트장 
