암사동 선사주거지,역사적인 장소,4.5,역사적인장소
화성,역사적인 장소,4,역사적인장소
대부도,섬,4,섬
국립현대미술관(과천관),아트뮤지엄,4.5,박물관
독립기념관,역사박물관,4.5,박물관
공산성,역사적인 장소 • 즐길거리 & 랜드마크,4.5,역사적인장소
무령왕릉,역사적인 장소,4,역사적인장소
충청수영성,역사적인 장소 • 성 • 경관이 좋은 산책로,5,역사적인장소
천주교 대전교구 공세리성당,종교적인 장소,4.5,종교적인장소
팜카밀레 허브농원,공원 • 가든,5,공원
천주교 전주교구 전동성당,종교적인 장소,4,종교적인장소
"무주 구천동계곡 방화동 가족휴양촌,",국립공원 • 자연 & 야생동물 서식지 • 계곡,5,공원
순천만 갈대밭,공원,4.5,공원
용천사,역사적인 장소 • 종교적인 장소 • 경관이 좋은 산책로,4,역사적인장소
계림,유서 깊은 산책로,4,자연 경관
금오산,공원,4.5,공원
빙계계곡,물길 • 산림 • 계곡,5,자연 경관
군위 삼존석굴,역사적인 장소 • 종교적인 장소,4.5,역사적인장소
주남저수지,자연 & 야생동물 서식지,4,자연 경관
청곡사,종교적인 장소,3.5,종교적인장소
고성 탈박물관,전문 박물관,4,박물관
임진성,성,3.5,역사적인장소
다랑쉬오름,화산,5,산
약천사,종교적인 장소,4.5,종교적인장소
제주 올레,하이킹 트레일,4.5,자연 경관
월드컵공원,기타 야외 활동,4.5,공원
대한민국 국회의사당과 헌정기념관,전문 박물관,4,랜드마크
산사원,전문 박물관 • 맥주 양조장,4.5,박물관
탄금대,물길,4.5,자연 경관
지리산 산수유마을,유서 깊은 산책로 • 절경 드라이브 코스 • 경관이 좋은 산책로,4,랜드마크
항공우주박물관,과학박물관,4,박물관
창녕 석빙고,역사적인 장소,3.5,역사적인장소
천제연폭포,폭포,4,자연 경관
대둔산,산,4.5,산
그림이 있는 정원,가든,2.5,랜드마크
마이산 도립공원,산,4.5,산
용궁사,종교적인 장소,4,종교적인장소
한벽당,역사적인 장소,4,역사적인장소
달아공원,자연 & 야생동물 서식지,4,공원
"벌교 홍교, 대한다원",산림 • 농장,4.5,랜드마크
안양 예술공원,공원,4.5,공원
부천 활박물관과 궁도장,전문 박물관,4,박물관
파주 프로방스,특산물 & 기념품 가게 • 쇼핑몰,4,랜드마크
융ㆍ건릉,역사적인 장소,4,역사적인장소
자유공원,공원,4,공원
통일전망대,전망대 & 타워,4,랜드마크
십리포 해수욕장,해변,3.5,해변
순천 드라마세트장 ,즐길거리 & 랜드마크,4,랜드마크
